,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1042,LAL,49,15,39,38.5,7,22,31.8,12,14,85.7,6,16,22,11,7,4,2,7,-1,True,False,False,False,False
1043,MEM,53,22,52,42.3,7,21,33.3,2,2,100.0,6,20,26,11,6,4,3,6,5,True,False,False,False,False
1044,MIN,73,29,48,60.4,6,15,40.0,9,12,75.0,6,16,22,19,12,4,2,14,-3,False,False,False,False,False
1045,OKC,54,18,35,51.4,5,12,41.7,13,18,72.2,4,14,18,12,8,6,1,9,5,True,True,True,True,False
1046,ORL,47,16,44,36.4,4,13,30.8,11,12,91.7,7,16,23,14,7,2,2,6,-9,True,False,False,False,False
1047,PHI,49,20,41,48.8,7,16,43.8,2,6,33.3,7,16,23,10,9,4,0,14,-5,False,False,False,False,False
1048,SAC,50,19,43,44.2,10,20,50.0,2,2,100.0,6,18,24,14,7,4,0,11,1,False,False,False,False,False
1049,SAS,56,24,45,53.3,6,14,42.9,2,4,50.0,4,18,22,11,6,6,5,11,9,False,False,False,False,False
1050,UTA,48,21,48,43.8,5,18,27.8,1,2,50.0,4,20,24,11,9,2,3,6,-5,False,False,False,False,False
1051,WAS,76,29,52,55.8,4,14,28.6,14,16,87.5,7,13,20,18,8,6,0,10,3,True,True,True,True,True
1052,ATL,62,22,49,44.9,4,15,26.7,14,18,77.8,6,16,22,16,9,7,5,10,-12,False,False,False,False,False
1053,BKN,50,19,48,39.6,5,24,20.8,7,7,100.0,1,16,17,15,8,7,3,17,-6,True,True,True,False,False
1054,CHA,47,16,46,34.8,8,25,32.0,7,10,70.0,6,17,23,10,5,1,3,11,-8,True,False,False,False,False
1055,CHI,56,15,45,33.3,4,18,22.2,22,24,91.7,11,23,34,7,12,5,1,10,6,False,False,False,False,False
1056,DAL,53,19,48,39.6,5,23,21.7,10,15,66.7,7,17,24,11,7,4,0,8,-7,True,True,True,True,False
1057,HOU,64,22,49,44.9,10,23,43.5,10,12,83.3,10,11,21,9,8,4,0,9,2,True,True,True,True,True
1058,IND,36,14,46,30.4,5,15,33.3,3,4,75.0,5,22,27,9,12,4,6,7,-13,False,False,False,False,False
1059,LAC,74,26,51,51.0,6,15,40.0,16,16,100.0,7,21,28,14,10,5,5,14,12,True,True,True,True,True
1060,MIA,54,21,45,46.7,3,13,23.1,9,9,100.0,6,18,24,13,7,4,2,1,5,True,True,True,True,True
1061,MIL,49,22,51,43.1,4,19,21.1,1,3,33.3,3,23,26,10,7,5,5,6,13,True,True,True,True,True
1062,MIN,62,23,47,48.9,6,19,31.6,10,13,76.9,9,16,25,15,8,4,3,10,-2,False,False,False,False,False
1063,NOP,49,21,45,46.7,6,18,33.3,1,2,50.0,5,16,21,12,8,5,0,8,-5,False,False,False,False,False
1064,NYK,55,21,47,44.7,3,11,27.3,10,14,71.4,8,21,29,10,5,2,1,11,8,False,False,False,False,False
1065,POR,66,25,42,59.5,11,24,45.8,5,6,83.3,2,18,20,16,6,0,2,10,8,True,True,False,False,False
1066,SAS,58,20,43,46.5,3,10,30.0,15,18,83.3,4,14,18,14,4,3,1,4,-8,False,False,False,False,False
1067,TOR,60,20,43,46.5,11,22,50.0,9,12,75.0,5,17,22,11,9,3,2,11,7,False,False,False,False,False
1068,ATL,41,15,43,34.9,3,14,21.4,8,10,80.0,3,14,17,7,12,5,1,9,-28,False,False,False,False,False
1069,BOS,46,16,39,41.0,5,17,29.4,9,11,81.8,7,18,25,13,12,4,2,7,-4,False,False,False,False,False
1070,CLE,44,16,41,39.0,3,11,27.3,9,10,90.0,5,13,18,5,9,4,3,11,-24,False,False,False,False,False
1071,DEN,72,28,50,56.0,8,14,57.1,8,12,66.7,4,21,25,19,5,8,7,11,23,True,True,True,True,True
1072,GSW,49,17,43,39.5,4,13,30.8,11,15,73.3,5,18,23,10,7,4,3,8,-6,False,False,False,False,False
1073,LAL,69,28,49,57.1,7,15,46.7,6,7,85.7,6,21,27,15,7,6,10,9,28,True,True,True,True,True
1074,MEM,49,17,44,38.6,5,13,38.5,10,12,83.3,5,17,22,9,9,3,2,9,-23,False,False,False,False,False
1075,NOP,55,20,51,39.2,12,29,41.4,3,4,75.0,8,19,27,14,7,2,2,12,6,True,True,True,True,False
1076,ORL,61,22,46,47.8,8,21,38.1,9,10,90.0,4,23,27,14,7,3,3,8,9,True,True,False,False,False
1077,PHI,68,28,41,68.3,6,11,54.5,6,8,75.0,1,19,20,20,5,4,4,8,24,True,True,True,True,True
