,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1171,UTA,74,25,45,55.6,9,22,40.9,15,16,93.8,5,25,30,20,6,0,2,9,20,True,True,True,True,False
1172,BKN,52,18,41,43.9,9,25,36.0,7,7,100.0,1,17,18,10,7,5,0,6,6,True,False,False,False,False
1173,DAL,78,29,56,51.8,10,21,47.6,10,14,71.4,10,18,28,16,7,6,1,14,18,True,True,True,True,True
1174,DEN,52,20,48,41.7,5,16,31.3,7,9,77.8,11,17,28,11,6,1,0,7,-5,True,True,True,True,True
1175,HOU,60,21,47,44.7,5,23,21.7,13,18,72.2,6,18,24,13,8,3,0,12,-18,False,False,False,False,False
1176,LAC,72,25,52,48.1,12,25,48.0,10,16,62.5,8,23,31,15,4,1,2,8,16,True,True,True,True,True
1177,NOP,56,22,55,40.0,8,22,36.4,4,4,100.0,6,19,25,14,3,1,2,13,-16,False,False,False,False,False
1178,NYK,46,18,42,42.9,9,19,47.4,1,5,20.0,5,19,24,12,12,4,2,11,-6,False,False,False,False,False
1179,PHX,57,22,42,52.4,8,21,38.1,5,5,100.0,3,17,20,14,6,3,1,8,5,False,False,False,False,False
1180,SAC,57,20,45,44.4,2,13,15.4,15,16,93.8,6,18,24,10,8,4,3,11,0,True,True,True,False,False
1181,WAS,57,21,47,44.7,7,14,50.0,8,9,88.9,7,17,24,14,10,4,1,12,0,False,False,False,False,False
1182,ATL,64,24,45,53.3,7,13,53.8,9,11,81.8,3,16,19,16,9,3,2,11,10,False,False,False,False,False
1183,BKN,52,23,47,48.9,6,17,35.3,0,0,0.0,3,22,25,15,7,4,4,8,1,True,False,False,False,False
1184,BOS,53,20,43,46.5,4,16,25.0,9,11,81.8,6,14,20,11,8,8,1,8,7,True,False,False,False,False
1185,CHA,58,22,41,53.7,6,17,35.3,8,10,80.0,3,14,17,14,8,3,0,11,-11,False,False,False,False,False
1186,CHI,54,21,44,47.7,7,21,33.3,5,9,55.6,4,16,20,13,8,3,3,12,-8,False,False,False,False,False
1187,CLE,51,19,45,42.2,6,14,42.9,7,11,63.6,5,19,24,14,5,4,1,5,-1,False,False,False,False,False
1188,DET,53,17,40,42.5,6,16,37.5,13,16,81.3,3,15,18,11,6,4,1,12,-2,True,True,True,True,True
1189,GSW,59,23,45,51.1,4,8,50.0,9,11,81.8,5,13,18,16,5,7,3,10,6,False,False,False,False,False
1190,IND,67,29,49,59.2,7,12,58.3,2,4,50.0,8,20,28,16,7,2,4,6,11,True,True,True,True,True
1191,LAL,54,22,48,45.8,5,14,35.7,5,7,71.4,8,12,20,11,6,3,3,7,-2,True,True,True,True,False
1192,MEM,56,23,50,46.0,6,12,50.0,4,6,66.7,4,11,15,13,3,3,1,8,-11,False,False,False,False,False
1193,MIA,69,23,47,48.9,12,22,54.5,11,11,100.0,6,17,23,15,5,4,1,11,11,True,True,True,True,True
1194,MIL,48,18,45,40.0,3,17,17.6,9,14,64.3,5,17,22,8,7,4,3,11,-9,True,True,False,False,False
1195,MIN,54,19,42,45.2,8,21,38.1,8,13,61.5,5,12,17,15,8,4,3,13,-10,True,True,True,True,True
1196,OKC,53,21,40,52.5,5,15,33.3,6,7,85.7,5,16,21,13,11,1,4,9,-6,True,False,False,False,False
1197,ORL,55,21,45,46.7,6,15,40.0,7,10,70.0,6,19,25,9,7,3,6,13,2,False,False,False,False,False
1198,PHI,49,18,49,36.7,7,22,31.8,6,8,75.0,11,19,30,13,8,4,1,10,-2,False,False,False,False,False
1199,POR,62,23,47,48.9,5,16,31.3,11,14,78.6,9,21,30,12,6,2,1,9,8,True,True,True,True,True
1200,SAC,46,18,40,45.0,6,24,25.0,4,7,57.1,5,13,18,14,11,2,4,7,-7,False,False,False,False,False
1201,SAS,56,24,45,53.3,7,14,50.0,1,2,50.0,5,15,20,14,6,2,4,11,2,False,False,False,False,False
1202,TOR,51,19,44,43.2,5,20,25.0,8,11,72.7,5,16,21,13,6,1,2,10,2,True,True,False,False,False
1203,UTA,57,20,41,48.8,9,18,50.0,8,8,100.0,4,22,26,18,12,3,4,11,9,False,False,False,False,False
1204,DAL,46,11,35,31.4,6,22,27.3,18,20,90.0,6,19,25,8,13,5,1,10,-16,False,False,False,False,False
1205,DEN,64,27,47,57.4,4,13,30.8,6,11,54.5,4,25,29,17,7,4,5,10,17,True,True,True,True,True
1206,LAC,62,23,56,41.1,10,22,45.5,6,11,54.5,13,16,29,14,5,7,1,13,16,True,True,True,True,True
1207,WAS,47,18,47,38.3,1,16,6.3,10,14,71.4,3,15,18,12,6,4,1,10,-17,False,False,False,False,False
1208,ATL,59,20,46,43.5,7,18,38.9,12,16,75.0,9,17,26,13,9,2,1,11,-1,False,False,False,False,False
1209,BKN,63,25,47,53.2,12,27,44.4,1,3,33.3,4,17,21,18,7,2,3,7,6,False,False,False,False,False
1210,BOS,57,22,47,46.8,7,16,43.8,6,6,100.0,5,15,20,10,7,5,0,5,-6,True,True,True,True,True
1211,CHA,55,21,47,44.7,4,17,23.5,9,9,100.0,5,14,19,14,1,2,2,11,-5,True,False,False,False,False
1212,CHI,48,16,44,36.4,8,15,53.3,8,10,80.0,4,16,20,12,8,7,3,13,-5,False,False,False,False,False
1213,CLE,52,20,37,54.1,4,12,33.3,8,10,80.0,4,21,25,11,15,1,0,7,-7,False,False,False,False,False
1214,DET,60,23,43,53.5,5,16,31.3,9,13,69.2,5,18,23,13,6,1,1,7,5,False,False,False,False,False
1215,GSW,53,18,46,39.1,4,14,28.6,13,18,72.2,11,24,35,14,9,4,4,8,5,True,True,True,True,True
1216,HOU,66,24,45,53.3,8,22,36.4,10,11,90.9,5,22,27,11,7,7,2,7,24,True,True,True,True,False
1217,IND,53,23,47,48.9,2,10,20.0,5,6,83.3,5,19,24,11,7,3,2,7,10,True,True,True,True,True
1218,LAC,64,23,48,47.9,5,16,31.3,13,15,86.7,4,17,21,17,7,6,3,11,4,True,False,False,False,False
1219,LAL,54,22,44,50.0,2,10,20.0,8,11,72.7,3,14,17,15,7,5,3,9,-10,True,True,False,False,False
1220,MEM,60,22,46,47.8,4,15,26.7,12,15,80.0,4,17,21,16,9,5,3,10,-4,False,False,False,False,False
1221,MIA,42,15,39,38.5,8,22,36.4,4,6,66.7,2,15,17,9,12,4,1,9,-24,False,False,False,False,False
1222,MIL,60,23,45,51.1,7,20,35.0,7,11,63.6,6,14,20,15,7,2,6,12,1,True,True,True,True,False
1223,MIN,57,19,47,40.4,8,18,44.4,11,12,91.7,5,25,30,15,7,4,3,11,10,True,True,True,True,True
1224,NOP,64,23,45,51.1,12,21,57.1,6,7,85.7,5,16,21,13,8,3,2,11,10,False,False,False,False,False
1225,NYK,46,15,44,34.1,6,22,27.3,10,12,83.3,6,19,25,9,10,2,0,7,-12,False,False,False,False,False
1226,OKC,50,20,46,43.5,6,18,33.3,4,7,57.1,4,15,19,11,4,2,2,9,-13,False,False,False,False,False
1227,ORL,59,23,52,44.2,7,19,36.8,6,7,85.7,3,11,14,16,3,6,4,11,7,True,True,True,True,True
1228,PHI,47,20,41,48.8,1,10,10.0,6,8,75.0,5,19,24,10,10,2,4,7,1,True,True,True,False,False
1229,PHX,69,27,43,62.8,7,13,53.8,8,9,88.9,3,11,14,17,8,3,1,11,-5,False,False,False,False,False
1230,POR,63,23,45,51.1,6,13,46.2,11,11,100.0,6,22,28,15,5,2,1,9,13,True,True,True,True,True
1231,SAC,46,20,49,40.8,3,13,23.1,3,7,42.9,6,16,22,10,5,5,2,10,-1,False,False,False,False,False
1232,SAS,47,18,47,38.3,2,15,13.3,9,10,90.0,3,20,23,11,5,3,5,8,-10,False,False,False,False,False
1233,TOR,58,22,49,44.9,9,24,37.5,5,6,83.3,9,20,29,9,6,3,2,9,12,True,True,True,True,True
1234,UTA,43,16,43,37.2,3,17,17.6,8,10,80.0,4,17,21,8,6,3,1,9,-10,False,False,False,False,False
1235,WAS,74,29,46,63.0,11,16,68.8,5,5,100.0,2,12,14,20,7,5,4,9,5,True,True,True,True,False
1236,ATL,54,20,47,42.6,3,16,18.8,11,11,100.0,6,22,28,8,8,4,2,11,11,False,False,False,False,False
1237,BKN,58,23,51,45.1,11,25,44.0,1,3,33.3,7,18,25,18,8,4,3,11,3,True,True,False,False,False
1238,BOS,55,21,43,48.8,8,16,50.0,5,7,71.4,4,17,21,10,9,3,1,5,-3,False,False,False,False,False
1239,CHA,62,23,43,53.5,11,19,57.9,5,8,62.5,5,12,17,15,2,3,4,7,5,True,False,False,False,False
1240,CHI,47,17,47,36.2,6,18,33.3,7,11,63.6,3,16,19,9,6,5,2,12,-6,False,False,False,False,False
1241,CLE,47,19,45,42.2,5,12,41.7,4,7,57.1,6,13,19,14,7,3,0,10,-20,False,False,False,False,False
1242,DAL,53,19,45,42.2,7,22,31.8,8,11,72.7,3,23,26,11,7,4,1,12,3,True,True,True,False,False
1243,DET,57,21,45,46.7,10,20,50.0,5,10,50.0,10,15,25,13,7,1,2,5,-5,False,False,False,False,False
1244,GSW,58,19,42,45.2,7,16,43.8,13,16,81.3,3,13,16,13,4,2,3,10,-13,False,False,False,False,False
1245,IND,43,15,39,38.5,1,12,8.3,12,18,66.7,2,18,20,6,7,5,0,10,-11,True,False,False,False,False
1246,LAC,53,22,49,44.9,4,12,33.3,5,5,100.0,4,22,26,13,7,4,3,10,0,False,False,False,False,False
1247,LAL,70,27,49,55.1,9,17,52.9,7,9,77.8,4,21,25,17,8,3,6,5,21,True,True,True,True,True
1248,MEM,55,21,46,45.7,6,19,31.6,7,11,63.6,5,26,31,13,7,1,6,9,15,False,False,False,False,False
1249,MIA,71,28,46,60.9,8,16,50.0,7,7,100.0,4,20,24,15,5,3,1,13,13,True,True,True,True,True
1250,MIL,67,26,45,57.8,7,19,36.8,8,8,100.0,3,21,24,21,6,2,2,7,20,True,True,True,True,False
1251,NOP,53,21,46,45.7,5,18,27.8,6,8,75.0,5,14,19,9,8,4,1,6,-9,False,False,False,False,False
1252,NYK,51,18,39,46.2,7,12,58.3,8,15,53.3,3,19,22,10,6,3,2,14,12,False,False,False,False,False
1253,OKC,62,25,47,53.2,7,17,41.2,5,8,62.5,4,17,21,14,5,2,4,6,9,True,True,False,False,False
1254,ORL,47,14,35,40.0,5,14,35.7,14,16,87.5,4,25,29,10,12,2,9,9,7,False,False,False,False,False
1255,PHI,39,13,38,34.2,2,18,11.1,11,16,68.8,3,19,22,11,7,3,5,11,-12,True,True,True,False,False
1256,PHX,50,18,43,41.9,6,18,33.3,8,10,80.0,2,18,20,14,7,3,3,10,-3,False,False,False,False,False
1257,POR,53,19,43,44.2,3,13,23.1,12,16,75.0,4,22,26,9,8,6,6,11,6,True,True,False,False,False
1258,SAS,53,21,46,45.7,4,15,26.7,7,7,100.0,2,19,21,15,5,3,5,7,0,True,True,True,True,False
1259,TOR,40,15,49,30.6,5,24,20.8,5,13,38.5,7,17,24,10,4,6,3,10,-7,True,True,True,False,False
1260,UTA,40,14,45,31.1,4,17,23.5,8,11,72.7,3,20,23,6,5,4,0,9,-15,True,True,True,True,False
1261,WAS,49,20,47,42.6,4,17,23.5,5,6,83.3,5,15,20,14,10,5,1,11,-21,False,False,False,False,False
1262,ATL,52,18,41,43.9,4,18,22.2,12,14,85.7,2,8,10,15,9,4,0,11,-29,False,False,False,False,False
1263,CHA,49,19,52,36.5,10,22,45.5,1,1,100.0,4,18,22,14,3,3,1,7,-17,False,False,False,False,False
1264,DEN,57,21,41,51.2,9,16,56.3,6,10,60.0,5,20,25,14,8,5,2,10,17,False,False,False,False,False
1265,HOU,81,28,43,65.1,12,20,60.0,13,14,92.9,4,20,24,16,8,5,0,12,29,True,True,True,True,True
1266,IND,65,24,40,60.0,6,11,54.5,11,13,84.6,1,17,18,12,8,3,1,11,0,False,False,False,False,False
1267,MIL,66,27,48,56.3,8,16,50.0,4,6,66.7,5,27,32,18,6,3,2,4,17,True,True,True,True,True
1268,PHI,65,22,44,50.0,7,13,53.8,14,17,82.4,4,13,17,16,4,4,2,7,0,True,False,False,False,False
1269,SAC,40,15,45,33.3,2,13,15.4,8,10,80.0,8,15,23,8,7,5,1,9,-17,True,False,False,False,False
1270,BKN,65,24,48,50.0,9,24,37.5,8,12,66.7,5,19,24,14,3,1,4,11,7,False,False,False,False,False
1271,BOS,58,22,48,45.8,8,23,34.8,6,8,75.0,7,14,21,14,7,3,4,11,0,True,True,True,True,False
1272,DAL,59,22,50,44.0,10,27,37.0,5,6,83.3,7,13,20,14,6,3,0,11,-3,True,True,True,True,True
1273,DET,59,23,45,51.1,8,17,47.1,5,6,83.3,4,19,23,15,10,3,3,9,8,True,True,True,True,True
1274,GSW,51,21,44,47.7,1,9,11.1,8,10,80.0,9,14,23,14,7,3,2,6,0,False,False,False,False,False
1275,LAC,82,30,53,56.6,7,15,46.7,15,21,71.4,7,21,28,12,5,5,2,13,25,True,True,True,True,True
1276,LAL,62,27,48,56.3,3,9,33.3,5,5,100.0,6,19,25,18,8,5,1,6,3,False,False,False,False,False
1277,MEM,48,18,55,32.7,7,23,30.4,5,7,71.4,9,21,30,13,6,3,1,10,1,True,True,True,True,False
1278,MIA,58,21,51,41.2,5,16,31.3,11,14,78.6,10,16,26,8,3,1,0,11,-7,True,False,False,False,False
1279,MIN,47,16,42,38.1,4,18,22.2,11,13,84.6,3,26,29,12,9,5,4,7,-1,False,False,False,False,False
1280,NOP,55,22,46,47.8,9,18,50.0,2,2,100.0,3,15,18,16,6,3,3,10,-1,False,False,False,False,False
1281,NYK,58,22,42,52.4,6,14,42.9,8,10,80.0,4,14,18,9,9,3,1,13,0,False,False,False,False,False
1282,OKC,56,21,40,52.5,4,12,33.3,10,13,76.9,4,20,24,10,8,4,2,7,1,True,False,False,False,False
1283,ORL,51,20,40,50.0,5,14,35.7,6,7,85.7,3,13,16,12,8,4,4,8,0,True,True,False,False,False
1284,SAS,51,17,42,40.5,3,13,23.1,14,14,100.0,2,15,17,11,6,8,4,4,-8,False,False,False,False,False
1285,TOR,77,29,48,60.4,13,19,68.4,6,8,75.0,2,27,29,21,7,11,4,10,40,True,True,True,True,True
1286,UTA,37,13,47,27.7,4,20,20.0,7,11,63.6,7,18,25,5,12,4,2,8,-40,False,False,False,False,False
1287,WAS,57,21,50,42.0,3,12,25.0,12,16,75.0,8,15,23,14,9,3,0,15,-25,False,False,False,False,False
1288,ATL,49,17,43,39.5,4,16,25.0,11,12,91.7,5,16,21,9,6,4,4,7,9,True,True,True,True,True
1289,CHA,39,17,38,44.7,4,15,26.7,1,2,50.0,5,17,22,12,15,2,3,9,-20,False,False,False,False,False
1290,CHI,55,20,40,50.0,8,20,40.0,7,10,70.0,0,18,18,14,8,7,0,9,11,True,True,True,False,False
1291,GSW,40,16,45,35.6,2,7,28.6,6,7,85.7,9,17,26,9,9,4,2,13,-9,False,False,False,False,False
1292,IND,57,22,49,44.9,7,19,36.8,6,7,85.7,5,20,25,15,5,2,0,9,10,True,True,True,True,True
1293,MEM,47,17,43,39.5,5,20,25.0,8,9,88.9,4,18,22,10,7,1,5,9,-10,False,False,False,False,False
1294,MIL,72,26,44,59.1,10,21,47.6,10,17,58.8,6,24,30,17,5,4,2,12,27,True,True,True,True,True
1295,NYK,45,13,48,27.1,5,20,25.0,14,18,77.8,9,15,24,6,5,2,3,11,-27,False,False,False,False,False
1296,PHI,60,22,46,47.8,11,19,57.9,5,9,55.6,3,23,26,16,8,5,3,12,18,True,True,True,True,False
1297,PHX,59,23,45,51.1,5,20,25.0,8,13,61.5,4,14,18,18,3,12,1,6,20,True,True,False,False,False
1298,SAC,44,17,39,43.6,4,16,25.0,6,7,85.7,2,18,20,10,11,3,1,8,-11,False,False,False,False,False
1299,UTA,42,17,42,40.5,1,9,11.1,7,12,58.3,3,18,21,9,11,4,3,10,-18,False,False,False,False,False
1300,CLE,46,19,49,38.8,5,16,31.3,3,4,75.0,6,16,22,9,6,4,3,4,-16,False,False,False,False,False
1301,DAL,59,19,47,40.4,9,24,37.5,12,15,80.0,6,18,24,11,7,4,4,8,6,True,True,True,True,True
1302,DEN,49,20,45,44.4,3,14,21.4,6,7,85.7,2,14,16,15,6,5,2,11,-11,False,False,False,False,False
1303,DET,62,25,49,51.0,10,19,52.6,2,4,50.0,6,20,26,17,6,5,5,6,16,True,True,True,True,True
1304,HOU,63,18,45,40.0,9,24,37.5,18,19,94.7,5,18,23,12,5,6,2,11,4,False,False,False,False,False
1305,LAC,62,23,46,50.0,9,16,56.3,7,12,58.3,5,17,22,12,4,2,2,6,3,True,True,True,True,True
1306,LAL,60,24,49,49.0,5,17,29.4,7,12,58.3,11,21,32,14,7,5,2,7,11,True,True,True,True,False
1307,MIA,58,22,44,50.0,5,15,33.3,9,11,81.8,4,20,24,14,5,1,4,9,5,True,True,True,True,True
1308,NOP,53,20,45,44.4,6,16,37.5,7,9,77.8,4,21,25,11,9,4,2,10,-6,False,False,False,False,False
1309,ORL,68,30,51,58.8,7,14,50.0,1,3,33.3,4,22,26,16,6,1,1,9,14,True,True,True,False,False
1310,POR,59,23,44,52.3,5,12,41.7,8,10,80.0,4,20,24,8,5,2,1,10,-3,False,False,False,False,False
1311,SAS,59,23,47,48.9,3,8,37.5,10,15,66.7,8,20,28,14,9,4,4,11,-4,True,False,False,False,False
1312,TOR,53,17,47,36.2,5,20,25.0,14,15,93.3,5,19,24,13,4,3,1,6,-5,False,False,False,False,False
1313,WAS,54,20,45,44.4,2,13,15.4,12,15,80.0,3,16,19,10,4,4,2,7,-14,False,False,False,False,False
1314,ATL,47,21,43,48.8,4,14,28.6,1,3,33.3,4,14,18,14,8,3,7,9,-9,False,False,False,False,False
1315,BKN,56,21,55,38.2,7,19,36.8,7,7,100.0,14,18,32,10,8,2,1,6,9,True,True,True,True,True
1316,BOS,52,16,38,42.1,7,20,35.0,13,18,72.2,2,20,22,10,6,6,4,7,8,True,True,True,True,True
1317,CHA,58,22,43,51.2,11,22,50.0,3,6,50.0,5,11,16,14,6,6,3,9,4,True,True,True,True,True
1318,CHI,50,19,41,46.3,8,18,44.4,4,6,66.7,5,23,28,14,13,2,7,11,15,True,True,True,False,False
1319,DAL,53,23,46,50.0,3,19,15.8,4,7,57.1,4,19,23,13,5,3,3,13,-3,True,True,True,False,False
1320,DET,48,18,45,40.0,6,18,33.3,6,12,50.0,5,14,19,10,6,3,2,9,-11,False,False,False,False,False
1321,GSW,54,21,38,55.3,7,13,53.8,5,6,83.3,3,15,18,9,10,2,2,7,-4,False,False,False,False,False
1322,IND,49,21,43,48.8,5,12,41.7,2,3,66.7,1,14,15,9,4,1,1,8,-1,True,True,True,False,False
1323,LAL,65,23,47,48.9,9,17,52.9,10,13,76.9,7,23,30,14,6,2,4,8,18,True,True,True,True,True
1324,MEM,35,14,49,28.6,0,15,0.0,7,8,87.5,6,16,22,10,8,9,4,7,-15,False,False,False,False,False
1325,MIA,44,19,44,43.2,6,17,35.3,0,1,0.0,5,20,25,10,10,5,2,12,-8,False,False,False,False,False
1326,MIL,59,22,45,48.9,6,17,35.3,9,11,81.8,7,23,30,12,9,5,4,8,11,True,True,True,True,True
1327,MIN,56,16,47,34.0,7,17,41.2,17,19,89.5,10,15,25,11,6,3,1,9,3,False,False,False,False,False
1328,OKC,50,21,40,52.5,3,10,30.0,5,6,83.3,1,18,19,14,5,3,2,6,1,False,False,False,False,False
1329,ORL,65,26,48,54.2,6,13,46.2,7,9,77.8,9,16,25,15,8,2,4,6,7,True,True,True,True,True
1330,PHX,58,23,49,46.9,6,19,31.6,6,7,85.7,5,12,17,17,4,4,0,10,-7,False,False,False,False,False
1331,POR,66,28,47,59.6,6,13,46.2,4,6,66.7,4,19,23,16,3,2,7,5,2,True,True,True,True,True
1332,SAC,64,26,52,50.0,10,21,47.6,2,5,40.0,8,16,24,13,6,2,4,4,-2,False,False,False,False,False
1333,UTA,47,17,47,36.2,9,19,47.4,4,7,57.1,4,13,17,12,6,2,0,15,-18,False,False,False,False,False
1334,DEN,67,26,43,60.5,11,18,61.1,4,9,44.4,4,18,22,22,5,4,4,8,22,True,True,True,True,True
1335,HOU,63,23,49,46.9,11,24,45.8,6,7,85.7,9,17,26,16,13,7,1,10,8,True,True,True,True,False
1336,NOP,70,24,40,60.0,8,15,53.3,14,17,82.4,1,12,13,16,11,8,1,12,-4,False,False,False,False,False
1337,NYK,45,16,40,40.0,6,21,28.6,7,9,77.8,3,14,17,11,8,3,3,7,-22,False,False,False,False,False
1338,PHI,55,20,38,52.6,8,14,57.1,7,12,58.3,3,19,22,16,12,3,2,8,-10,False,False,False,False,False
1339,PHX,74,28,45,62.2,8,14,57.1,10,12,83.3,4,14,18,21,10,7,2,13,4,True,True,True,False,False
1340,TOR,55,20,47,42.6,8,26,30.8,7,8,87.5,6,14,20,16,10,8,3,8,-8,False,False,False,False,False
1341,WAS,65,24,46,52.2,9,18,50.0,8,10,80.0,3,15,18,18,7,5,1,8,10,True,True,True,False,False
1342,BKN,55,20,42,47.6,11,22,50.0,4,4,100.0,7,16,23,18,12,6,3,11,-2,True,True,True,False,False
1343,BOS,53,21,40,52.5,6,17,35.3,5,6,83.3,2,18,20,12,8,3,0,8,8,True,True,True,True,True
1344,CHA,57,19,40,47.5,9,18,50.0,10,11,90.9,5,12,17,15,10,6,3,5,2,False,False,False,False,False
1345,CHI,51,21,46,45.7,8,19,42.1,1,1,100.0,6,13,19,12,8,6,1,9,1,False,False,False,False,False
1346,CLE,47,19,41,46.3,4,15,26.7,5,8,62.5,4,20,24,12,9,4,2,9,-5,False,False,False,False,False
1347,DEN,45,20,49,40.8,1,15,6.7,4,4,100.0,7,13,20,8,5,3,2,8,-8,False,False,False,False,False
1348,DET,55,19,44,43.2,6,15,40.0,11,13,84.6,6,22,28,12,10,4,4,9,11,True,True,True,False,False
1349,GSW,50,19,35,54.3,7,14,50.0,5,8,62.5,3,16,19,12,12,5,3,9,-1,True,False,False,False,False
1350,IND,44,14,42,33.3,5,11,45.5,11,13,84.6,3,15,18,10,7,4,4,9,-11,False,False,False,False,False
1351,LAC,43,16,43,37.2,6,18,33.3,5,7,71.4,4,21,25,11,11,3,2,8,-9,False,False,False,False,False
1352,LAL,77,26,42,61.9,9,13,69.2,16,18,88.9,0,19,19,16,9,7,4,12,15,True,True,True,True,True
1353,MIA,61,23,42,54.8,5,13,38.5,10,13,76.9,6,18,24,18,8,2,6,8,-4,True,True,True,True,False
1354,MIL,52,18,48,37.5,8,19,42.1,8,9,88.9,9,19,28,13,7,4,2,12,9,True,True,True,True,True
1355,MIN,58,24,46,52.2,7,18,38.9,3,3,100.0,5,11,16,12,7,6,1,7,5,False,False,False,False,False
1356,OKC,53,23,39,59.0,3,7,42.9,4,6,66.7,2,12,14,10,7,3,5,7,-5,True,True,True,True,True
1357,ORL,52,19,45,42.2,5,14,35.7,9,10,90.0,6,16,22,10,7,6,5,9,5,True,True,True,False,False
1358,POR,62,22,46,47.8,6,15,40.0,12,12,100.0,3,15,18,13,10,5,1,13,-15,False,False,False,False,False
1359,SAC,42,15,44,34.1,4,18,22.2,8,10,80.0,5,16,21,7,6,4,2,8,-10,False,False,False,False,False
1360,SAS,52,21,47,44.7,6,19,31.6,4,5,80.0,7,22,29,10,5,4,3,8,10,True,False,False,False,False
1361,WAS,65,24,45,53.3,9,18,50.0,8,8,100.0,2,12,14,20,5,4,2,9,4,False,False,False,False,False
1362,CLE,36,15,48,31.3,3,16,18.8,3,4,75.0,5,10,15,10,11,2,0,6,-41,False,False,False,False,False
1363,DAL,64,23,43,53.5,4,16,25.0,14,17,82.4,6,24,30,12,7,1,2,8,12,True,True,True,True,True
1364,HOU,60,23,49,46.9,6,19,31.6,8,12,66.7,6,22,28,15,7,5,5,9,8,True,True,True,False,False
1365,IND,66,27,46,58.7,6,14,42.9,6,8,75.0,2,17,19,15,6,3,2,8,6,True,False,False,False,False
1366,MEM,54,21,40,52.5,7,20,35.0,5,8,62.5,3,10,13,10,9,6,1,12,-15,False,False,False,False,False
1367,NOP,52,20,49,40.8,1,16,6.3,11,14,78.6,5,11,16,11,2,2,2,10,-12,False,False,False,False,False
1368,NYK,60,24,49,49.0,4,13,30.8,8,10,80.0,6,17,23,14,6,3,1,8,-6,False,False,False,False,False
1369,PHI,77,32,45,71.1,8,16,50.0,5,6,83.3,3,23,26,25,4,8,6,5,41,True,True,True,True,True
1370,PHX,52,21,51,41.2,7,21,33.3,3,5,60.0,6,18,24,16,8,3,2,9,-8,False,False,False,False,False
1371,UTA,69,23,38,60.5,11,19,57.9,12,13,92.3,4,14,18,16,9,5,0,11,15,True,True,True,True,True
1372,ATL,51,18,42,42.9,8,21,38.1,7,8,87.5,3,20,23,11,7,3,3,11,-2,True,True,True,True,True
1373,BKN,53,18,44,40.9,4,16,25.0,13,16,81.3,6,16,22,14,6,4,1,7,-1,True,False,False,False,False
1374,CHA,53,19,46,41.3,8,18,44.4,7,9,77.8,6,18,24,13,5,6,2,9,2,False,False,False,False,False
1375,CHI,49,17,38,44.7,5,14,35.7,10,14,71.4,2,17,19,8,4,3,0,14,2,False,False,False,False,False
1376,DAL,46,18,45,40.0,6,20,30.0,4,5,80.0,5,15,20,11,5,1,0,5,-20,False,False,False,False,False
1377,DEN,54,19,41,46.3,8,18,44.4,8,9,88.9,2,17,19,11,8,2,2,12,1,False,False,False,False,False
1378,LAC,65,25,49,51.0,9,22,40.9,6,11,54.5,3,18,21,16,6,7,2,16,1,True,True,True,True,True
1379,LAL,73,30,49,61.2,5,13,38.5,8,9,88.9,5,17,22,18,6,3,0,10,8,True,True,True,True,True
1380,MIA,47,15,38,39.5,3,12,25.0,14,18,77.8,6,17,23,7,5,2,2,11,-2,True,True,False,False,False
1381,MIN,65,23,45,51.1,8,17,47.1,11,13,84.6,3,12,15,14,8,4,4,9,-8,False,False,False,False,False
1382,OKC,55,20,48,41.7,6,16,37.5,9,12,75.0,6,23,29,4,6,6,2,9,8,True,True,True,True,True
1383,PHI,57,22,43,51.2,5,15,33.3,8,11,72.7,4,17,21,16,6,3,4,8,15,True,True,True,False,False
1384,POR,47,18,53,34.0,7,16,43.8,4,4,100.0,7,20,27,9,6,4,6,11,-8,False,False,False,False,False
1385,SAC,66,28,47,59.6,6,17,35.3,4,5,80.0,5,18,23,14,3,3,0,7,20,True,True,False,False,False
1386,TOR,42,16,44,36.4,5,16,31.3,5,5,100.0,6,16,22,12,10,3,2,10,-15,False,False,False,False,False
1387,WAS,64,21,44,47.7,9,18,50.0,13,16,81.3,4,18,22,14,8,1,3,10,-1,False,False,False,False,False
1388,BOS,53,22,39,56.4,7,15,46.7,2,2,100.0,2,19,21,12,10,5,5,9,13,True,True,True,True,True
1389,CHI,51,19,47,40.4,6,27,22.2,7,10,70.0,5,20,25,16,5,3,0,6,2,False,False,False,False,False
1390,CLE,40,17,44,38.6,3,15,20.0,3,10,30.0,8,14,22,8,10,4,0,5,-13,False,False,False,False,False
1391,DET,47,14,42,33.3,6,18,33.3,13,16,81.3,6,23,29,7,14,2,0,13,-6,True,False,False,False,False
1392,GSW,47,15,46,32.6,6,12,50.0,11,14,78.6,4,23,27,11,10,5,3,10,-7,False,False,False,False,False
1393,HOU,64,22,46,47.8,11,28,39.3,9,11,81.8,5,19,24,11,7,1,1,7,5,False,False,False,False,False
1394,IND,48,17,52,32.7,5,18,27.8,9,11,81.8,4,21,25,8,8,6,1,14,-12,False,False,False,False,False
1395,LAC,60,20,49,40.8,5,18,27.8,15,20,75.0,7,27,34,7,9,4,3,8,12,True,True,True,True,True
1396,MEM,54,18,43,41.9,10,24,41.7,8,9,88.9,0,21,21,17,9,7,5,10,7,True,True,True,True,False
