,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Team1,Team2,win_target,3_win_target,5_win_target,7_win_target,10_win_target
574,SAS,121,45,89,50.6,11,27,40.7,20,25,80.0,9,35,44,17,11,7,4,23,SAS,NOP,True,True,False,False,False
575,NYK,92,36,88,40.9,11,34,32.4,9,13,69.2,13,34,47,24,17,4,4,23,NYK,LAL,False,False,False,False,False
576,MIL,111,45,77,58.4,11,26,42.3,10,23,43.5,3,45,48,34,23,7,5,15,MIL,CHI,True,True,True,True,True
577,CLE,86,32,94,34.0,11,33,33.3,11,17,64.7,16,37,53,15,10,5,4,14,CLE,NYK,False,False,False,False,False
578,BKN,111,39,81,48.1,11,29,37.9,22,34,64.7,13,34,47,22,22,7,2,23,BKN,PHI,False,False,False,False,False
579,DEN,107,43,90,47.8,11,31,35.5,10,12,83.3,13,40,53,26,13,9,1,18,DEN,MIN,True,True,True,False,False
580,LAL,124,45,93,48.4,11,33,33.3,23,32,71.9,15,34,49,25,17,13,9,27,LAL,HOU,True,True,True,True,False
581,NOP,138,51,93,54.8,11,26,42.3,25,35,71.4,9,36,45,29,13,8,9,27,NOP,UTA,True,True,True,False,False
582,WAS,106,37,79,46.8,11,27,40.7,21,26,80.8,7,31,38,25,17,8,6,17,WAS,CHI,False,False,False,False,False
583,POR,117,41,95,43.2,11,36,30.6,24,29,82.8,12,46,58,22,8,6,4,19,POR,HOU,True,True,True,True,False
584,PHI,117,45,88,51.1,11,30,36.7,16,25,64.0,13,36,49,25,12,7,11,23,PHI,BKN,True,True,True,True,True
585,MIN,99,38,88,43.2,11,28,39.3,12,16,75.0,10,35,45,26,15,6,7,14,MIN,IND,False,False,False,False,False
586,NYK,102,36,102,35.3,11,37,29.7,19,26,73.1,12,37,49,26,11,7,3,21,NYK,MIL,False,False,False,False,False
587,LAL,128,48,88,54.5,11,30,36.7,21,28,75.0,11,34,45,33,9,8,3,25,LAL,CLE,True,True,True,True,True
588,DET,110,40,99,40.4,11,32,34.4,19,24,79.2,5,38,43,27,9,11,8,25,DET,NOP,False,False,False,False,False
589,MEM,122,45,100,45.0,11,35,31.4,21,25,84.0,18,42,60,33,17,17,7,16,MEM,GSW,True,True,True,True,True
590,DEN,114,37,77,48.1,11,25,44.0,29,37,78.4,9,35,44,24,14,7,4,26,DEN,LAC,True,True,True,True,False
