,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
954,CHA,CHA @ CHI,12/13/2019,,W,24,39,15,36,41.7,4,13,30.8,5,7,71.4,3,21,24,10,10,6,3,7,6
955,IND,IND @ ATL,12/13/2019,,W,24,47,19,42,45.2,5,12,41.7,4,5,80.0,3,18,21,14,9,4,0,12,-5
956,MEM,MEM vs. MIL,12/13/2019,,L,24,52,17,44,38.6,10,23,43.5,8,11,72.7,5,17,22,14,8,2,4,10,-11
957,GSW,GSW @ UTA,12/13/2019,,L,24,50,18,45,40.0,4,17,23.5,10,14,71.4,4,18,22,10,5,4,3,13,-15
958,MIA,MIA vs. LAL,12/13/2019,,L,24,51,17,41,41.5,6,17,35.3,11,14,78.6,3,14,17,11,5,2,1,14,-11
959,CHI,CHI vs. CHA,12/13/2019,,L,24,33,12,44,27.3,3,19,15.8,6,7,85.7,7,16,23,9,8,5,3,9,-6
960,UTA,UTA vs. GSW,12/13/2019,,W,24,65,21,42,50.0,9,20,45.0,14,19,73.7,4,23,27,11,6,2,2,12,15
961,LAC,LAC @ MIN,12/13/2019,,W,24,59,18,36,50.0,6,11,54.5,17,20,85.0,3,20,23,11,12,5,2,18,0
962,MIL,MIL @ MEM,12/13/2019,,W,24,63,24,48,50.0,6,16,37.5,9,13,69.2,8,21,29,11,6,3,1,12,11
963,PHI,PHI vs. NOP,12/13/2019,,W,24,54,18,39,46.2,3,8,37.5,15,24,62.5,5,16,21,10,5,4,4,14,2
964,ORL,ORL vs. HOU,12/13/2019,,L,24,52,18,39,46.2,6,16,37.5,10,13,76.9,6,13,19,7,4,0,1,8,-16
965,NOP,NOP @ PHI,12/13/2019,,L,24,52,16,41,39.0,3,11,27.3,17,24,70.8,7,16,23,10,4,2,2,18,-2
966,LAL,LAL @ MIA,12/13/2019,,W,24,62,22,45,48.9,9,23,39.1,9,14,64.3,7,18,25,15,8,4,5,11,11
967,NYK,NYK @ SAC,12/13/2019,,W,24,58,24,46,52.2,6,14,42.9,4,6,66.7,5,18,23,15,4,3,2,9,11
968,MIN,MIN vs. LAC,12/13/2019,,L,24,59,18,42,42.9,4,21,19.0,19,23,82.6,4,15,19,6,8,6,1,12,0
969,ATL,ATL vs. IND,12/13/2019,,L,24,52,19,42,45.2,6,15,40.0,8,10,80.0,3,18,21,12,8,3,1,9,5
970,BOS,BOS vs. PHI,12/12/2019,,L,24,50,18,46,39.1,6,15,40.0,8,9,88.9,5,13,18,12,4,3,3,15,-9
971,SAS,SAS vs. CLE,12/12/2019,,L,24,60,22,36,61.1,1,4,25.0,15,20,75.0,0,17,17,8,7,7,5,9,10
972,DAL,DAL @ DET,12/12/2019,,W,24,57,21,40,52.5,6,18,33.3,9,11,81.8,4,21,25,13,7,3,4,12,4
973,CLE,CLE @ SAS,12/12/2019,,W,24,50,19,44,43.2,6,22,27.3,6,9,66.7,4,14,18,10,11,4,0,13,-10
974,DET,DET vs. DAL,12/12/2019,,L,24,53,17,40,42.5,10,21,47.6,9,15,60.0,1,14,15,10,5,5,1,9,-4
975,POR,POR @ DEN,12/12/2019,,L,24,46,19,41,46.3,4,15,26.7,4,5,80.0,4,13,17,11,7,1,5,8,-6
976,PHI,PHI @ BOS,12/12/2019,,W,24,59,19,37,51.4,5,11,45.5,16,19,84.2,3,22,25,11,7,3,5,8,9
977,DEN,DEN vs. POR,12/12/2019,,W,24,52,20,44,45.5,7,16,43.8,5,7,71.4,7,16,23,12,6,4,2,8,6
978,NYK,NYK @ GSW,12/11/2019,,W,24,44,14,36,38.9,5,17,29.4,11,12,91.7,2,16,18,9,13,2,2,12,-18
979,BKN,BKN vs. CHA,12/11/2019,,L,24,44,14,42,33.3,4,23,17.4,12,17,70.6,7,16,23,7,6,1,1,11,-16
980,SAC,SAC vs. OKC,12/11/2019,,W,24,56,23,43,53.5,7,15,46.7,3,4,75.0,4,18,22,9,11,3,1,12,10
981,IND,IND vs. BOS,12/11/2019,,W,24,61,22,44,50.0,4,9,44.4,13,16,81.3,2,14,16,14,3,6,0,11,1
982,MIL,MIL vs. NOP,12/11/2019,,W,24,58,23,39,59.0,7,16,43.8,5,5,100.0,1,15,16,12,13,6,0,10,-8
983,CHI,CHI vs. ATL,12/11/2019,,W,24,70,27,44,61.4,6,12,50.0,10,11,90.9,4,16,20,17,6,9,3,15,20
984,ORL,ORL vs. LAL,12/11/2019,,L,24,49,17,36,47.2,6,14,42.9,9,11,81.8,3,17,20,13,8,3,1,9,4
985,NOP,NOP @ MIL,12/11/2019,,L,24,66,22,42,52.4,9,21,42.9,13,14,92.9,4,14,18,17,9,6,1,11,8
986,CLE,CLE vs. HOU,12/11/2019,,L,24,53,21,42,50.0,9,17,52.9,2,2,100.0,3,12,15,17,9,5,0,8,1
987,LAC,LAC @ TOR,12/11/2019,,W,24,48,13,40,32.5,5,22,22.7,17,17,100.0,7,21,28,11,10,4,3,10,2
988,HOU,HOU @ CLE,12/11/2019,,W,24,52,20,42,47.6,9,22,40.9,3,3,100.0,7,10,17,9,7,6,4,6,-1
989,ATL,ATL @ CHI,12/11/2019,,L,24,50,14,36,38.9,8,19,42.1,14,19,73.7,4,14,18,10,12,2,2,11,-20
990,OKC,OKC @ SAC,12/11/2019,,L,24,46,17,38,44.7,4,13,30.8,8,10,80.0,2,12,14,11,9,5,4,6,-10
