,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
887,DET,DET vs. BKN,01/25/2020,,L,53,111,43,104,41.3,13,35,37.1,12,18,66.7,14,38,52,20,8,5,3,25,-10
888,PHI,PHI vs. LAL,01/25/2020,,W,48,108,41,78,52.6,13,37,35.1,13,19,68.4,8,33,41,19,23,12,3,18,17
889,MIA,MIA vs. LAC,01/24/2020,,L,48,117,40,93,43.0,13,44,29.5,24,29,82.8,9,36,45,25,9,4,4,19,-5
890,DEN,DEN @ NOP,01/24/2020,,W,48,113,40,106,37.7,13,41,31.7,20,20,100.0,24,32,56,26,15,14,6,19,7
891,NYK,NYK vs. TOR,01/24/2020,,L,48,112,42,85,49.4,13,36,36.1,15,21,71.4,14,32,46,26,16,5,4,21,-6
892,WAS,WAS @ MIA,01/22/2020,,L,53,129,50,99,50.5,13,42,31.0,16,20,80.0,7,34,41,30,11,10,5,29,-5
893,TOR,TOR vs. PHI,01/22/2020,,W,48,107,40,86,46.5,13,33,39.4,14,21,66.7,8,45,53,27,12,6,2,19,12
894,HOU,HOU vs. DEN,01/22/2020,,W,48,121,42,89,47.2,13,29,44.8,24,28,85.7,18,35,53,26,19,10,7,16,16
895,TOR,TOR @ ATL,01/20/2020,,W,48,122,38,92,41.3,13,42,31.0,33,43,76.7,12,33,45,25,14,13,3,25,5
896,MIN,MIN vs. DEN,01/20/2020,,L,48,100,38,91,41.8,13,42,31.0,11,14,78.6,11,31,42,26,9,7,5,11,-7
897,PHI,PHI @ BKN,01/20/2020,,W,48,117,42,94,44.7,13,39,33.3,20,27,74.1,12,31,43,30,13,12,6,24,6
898,SAC,SAC @ MIA,01/20/2020,,L,53,113,44,106,41.5,13,51,25.5,12,15,80.0,16,33,49,27,15,11,3,21,-5
899,IND,IND @ DEN,01/19/2020,,W,48,115,43,86,50.0,13,29,44.8,16,19,84.2,11,27,38,31,15,1,4,25,8
900,TOR,TOR @ MIN,01/18/2020,,W,48,122,47,91,51.6,13,35,37.1,15,17,88.2,7,35,42,25,14,13,9,23,10
901,PHX,PHX @ BOS,01/18/2020,,W,48,123,42,89,47.2,13,31,41.9,26,30,86.7,10,42,52,27,15,6,6,16,4
902,DAL,DAL @ SAC,01/15/2020,,W,48,127,47,92,51.1,13,40,32.5,20,24,83.3,13,34,47,24,11,4,2,18,4
903,DAL,DAL @ GSW,01/14/2020,,W,48,124,49,96,51.0,13,37,35.1,13,21,61.9,15,38,53,23,8,5,2,17,27
904,MEM,MEM vs. HOU,01/14/2020,,W,48,121,46,91,50.5,13,37,35.1,16,19,84.2,7,35,42,29,9,6,9,19,11
905,UTA,UTA @ BKN,01/14/2020,,W,48,118,46,92,50.0,13,36,36.1,13,15,86.7,7,34,41,19,9,8,3,15,11
906,MIN,MIN @ HOU,01/11/2020,,L,48,109,36,95,37.9,13,48,27.1,24,36,66.7,13,31,44,28,18,12,4,18,-30
907,MIN,MIN vs. POR,01/09/2020,,W,48,116,44,89,49.4,13,32,40.6,15,21,71.4,15,41,56,25,15,7,9,28,14
908,HOU,HOU @ ATL,01/08/2020,,W,48,122,39,92,42.4,13,45,28.9,31,41,75.6,16,43,59,22,13,7,7,21,7
909,BOS,BOS vs. SAS,01/08/2020,,L,48,114,37,89,41.6,13,38,34.2,27,30,90.0,8,31,39,26,15,7,2,20,-15
910,ATL,ATL vs. HOU,01/08/2020,,L,48,115,39,106,36.8,13,44,29.5,24,27,88.9,16,38,54,20,11,6,8,29,-7
911,POR,POR @ TOR,01/07/2020,,W,48,101,38,88,43.2,13,35,37.1,12,14,85.7,7,38,45,23,11,6,11,15,2
912,DET,DET @ CLE,01/07/2020,,W,48,115,42,91,46.2,13,33,39.4,18,21,85.7,10,30,40,26,9,8,3,15,2
913,PHI,PHI vs. OKC,01/06/2020,,W,48,120,46,90,51.1,13,26,50.0,15,18,83.3,9,33,42,31,10,4,0,28,7
914,POR,POR @ MIA,01/05/2020,,L,48,111,40,87,46.0,13,37,35.1,18,20,90.0,8,32,40,21,10,5,4,15,-11
915,BKN,BKN vs. TOR,01/04/2020,,L,48,102,32,67,47.8,13,35,37.1,25,34,73.5,6,32,38,24,24,4,11,24,-19
916,TOR,TOR @ BKN,01/04/2020,,W,48,121,44,97,45.4,13,32,40.6,20,28,71.4,15,28,43,21,8,10,4,25,19
917,CHI,CHI vs. BOS,01/04/2020,,L,48,104,34,80,42.5,13,34,38.2,23,31,74.2,11,26,37,23,16,15,5,22,-7
918,ORL,ORL vs. MIA,01/03/2020,,W,48,105,33,81,40.7,13,35,37.1,26,29,89.7,7,37,44,25,11,11,4,17,20
919,CLE,CLE vs. CHA,01/02/2020,,L,48,106,41,81,50.6,13,35,37.1,11,14,78.6,7,35,42,26,15,6,3,22,-3
920,SAS,SAS vs. OKC,01/02/2020,,L,48,103,40,92,43.5,13,31,41.9,10,12,83.3,14,31,45,22,9,1,8,22,-6
921,MEM,MEM @ SAC,01/02/2020,,L,48,123,45,93,48.4,13,34,38.2,20,21,95.2,8,34,42,31,17,4,0,25,-5
922,MIN,MIN vs. GSW,01/02/2020,,W,48,99,38,95,40.0,13,43,30.2,10,17,58.8,17,35,52,22,15,7,7,20,15
923,PHX,PHX @ POR,12/30/2019,,W,48,122,44,92,47.8,13,23,56.5,21,22,95.5,10,34,44,29,11,6,4,17,6
924,SAC,SAC @ DEN,12/29/2019,,L,48,115,45,85,52.9,13,34,38.2,12,17,70.6,9,26,35,32,14,5,4,26,-5
925,DAL,DAL @ LAL,12/29/2019,,L,48,95,32,89,36.0,13,43,30.2,18,20,90.0,13,32,45,17,19,11,4,23,-13
926,MIL,MIL vs. ORL,12/28/2019,,W,48,111,43,84,51.2,13,37,35.1,12,18,66.7,14,44,58,30,25,6,5,13,11
927,HOU,HOU vs. BKN,12/28/2019,,W,48,108,44,101,43.6,13,42,31.0,7,16,43.8,16,38,54,16,14,7,6,15,10
928,BKN,BKN vs. NYK,12/26/2019,,L,48,82,21,78,26.9,13,50,26.0,27,36,75.0,9,41,50,17,13,3,3,19,-12
929,MIL,MIL @ PHI,12/25/2019,,L,48,109,45,95,47.4,13,33,39.4,6,8,75.0,8,39,47,23,10,6,6,15,-12
930,PHX,PHX vs. DEN,12/23/2019,,L,48,111,42,87,48.3,13,37,35.1,14,18,77.8,9,29,38,29,17,10,0,19,-2
931,CHI,CHI @ ORL,12/23/2019,,L,48,95,35,88,39.8,13,37,35.1,12,15,80.0,11,36,47,20,17,7,5,17,-8
932,POR,POR vs. MIN,12/21/2019,,W,48,113,40,94,42.6,13,35,37.1,20,25,80.0,12,33,45,19,15,9,13,21,7
933,SAS,SAS vs. BKN,12/19/2019,,W,48,118,43,96,44.8,13,33,39.4,19,23,82.6,13,34,47,26,11,10,8,19,13
934,CHA,CHA @ CLE,12/18/2019,,L,48,98,37,91,40.7,13,37,35.1,11,18,61.1,15,20,35,25,9,12,3,20,-2
935,TOR,TOR @ DET,12/18/2019,,W,48,112,39,91,42.9,13,35,37.1,21,24,87.5,12,35,47,27,12,9,6,20,13
