,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
1280,BOS,BOS @ DEN,11/22/2019,,L,24,34,12,42,28.6,3,16,18.8,7,8,87.5,3,15,18,8,5,8,2,5,-11
1281,CLE,CLE @ DAL,11/22/2019,,L,24,42,17,43,39.5,6,15,40.0,2,3,66.7,5,15,20,11,7,1,1,7,-24
1282,MIL,MIL vs. POR,11/21/2019,,W,24,72,28,57,49.1,10,24,41.7,6,9,66.7,10,25,35,16,5,2,1,6,14
1283,POR,POR @ MIL,11/21/2019,,L,24,58,22,54,40.7,9,19,47.4,5,6,83.3,6,16,22,15,3,3,7,12,-14
1284,PHX,PHX vs. NOP,11/21/2019,,L,24,66,21,45,46.7,8,20,40.0,16,18,88.9,5,22,27,16,7,3,1,12,7
1285,NOP,NOP @ PHX,11/21/2019,,W,24,59,20,48,41.7,7,21,33.3,12,17,70.6,4,19,23,10,6,4,3,11,-7
1286,MIN,MIN vs. UTA,11/20/2019,,L,24,46,16,41,39.0,7,19,36.8,7,12,58.3,3,20,23,6,9,3,3,10,-2
1287,CHI,CHI vs. DET,11/20/2019,,W,24,59,19,44,43.2,8,15,53.3,13,17,76.5,6,22,28,14,9,2,3,12,4
1288,NYK,NYK @ PHI,11/20/2019,,L,24,51,21,45,46.7,6,11,54.5,3,3,100.0,1,19,20,9,5,3,3,10,-2
1289,ATL,ATL vs. MIL,11/20/2019,,L,24,61,23,50,46.0,8,14,57.1,7,8,87.5,5,19,24,15,6,3,1,9,3
1290,LAC,LAC vs. BOS,11/20/2019,,W,24,40,15,40,37.5,4,15,26.7,6,9,66.7,7,21,28,9,13,4,4,7,-2
1291,DEN,DEN vs. HOU,11/20/2019,,W,24,54,23,47,48.9,5,12,41.7,3,5,60.0,7,15,22,12,6,5,2,10,3
1292,DET,DET @ CHI,11/20/2019,,L,24,55,20,47,42.6,6,18,33.3,9,12,75.0,6,17,23,18,6,5,3,10,-4
1293,CLE,CLE @ MIA,11/20/2019,,L,24,48,17,45,37.8,8,23,34.8,6,7,85.7,7,7,14,12,11,7,1,8,-27
1294,ORL,ORL @ TOR,11/20/2019,,L,24,51,19,51,37.3,6,17,35.3,7,12,58.3,11,15,26,15,8,5,5,7,-10
1295,BKN,BKN vs. CHA,11/20/2019,,W,24,56,21,48,43.8,6,20,30.0,8,10,80.0,5,20,25,14,7,7,0,13,5
1296,DAL,DAL vs. GSW,11/20/2019,,W,24,74,25,46,54.3,11,21,52.4,13,17,76.5,8,22,30,16,7,4,2,11,36
1297,UTA,UTA @ MIN,11/20/2019,,W,24,48,16,42,38.1,5,16,31.3,11,16,68.8,8,20,28,9,8,4,3,12,2
1298,GSW,GSW @ DAL,11/20/2019,,L,24,38,14,44,31.8,2,11,18.2,8,13,61.5,4,11,15,7,6,5,3,12,-36
1299,HOU,HOU @ DEN,11/20/2019,,L,24,51,18,41,43.9,3,14,21.4,12,15,80.0,7,17,24,10,10,5,2,9,-3
1300,BOS,BOS @ LAC,11/20/2019,,L,24,42,18,49,36.7,1,18,5.6,5,9,55.6,8,18,26,10,7,6,1,9,2
1301,WAS,WAS vs. SAS,11/20/2019,,W,24,63,25,46,54.3,8,17,47.1,5,7,71.4,2,13,15,17,8,2,2,9,-6
1302,PHI,PHI vs. NYK,11/20/2019,,W,24,53,21,50,42.0,5,15,33.3,6,9,66.7,5,19,24,16,3,2,3,4,2
1303,SAS,SAS @ WAS,11/20/2019,,L,24,69,26,46,56.5,8,18,44.4,9,12,75.0,6,18,24,17,6,4,3,7,6
1304,MIL,MIL @ ATL,11/20/2019,,W,24,58,20,42,47.6,6,22,27.3,12,12,100.0,3,19,22,12,9,4,4,9,-3
1305,CHA,CHA @ BKN,11/20/2019,,L,24,51,18,42,42.9,6,16,37.5,9,14,64.3,5,17,22,10,9,5,1,10,-5
1306,TOR,TOR vs. ORL,11/20/2019,,W,24,61,24,43,55.8,7,18,38.9,6,8,75.0,3,18,21,13,5,3,4,8,10
1307,MIA,MIA vs. CLE,11/20/2019,,W,24,75,29,42,69.0,12,20,60.0,5,8,62.5,3,18,21,20,13,4,3,9,27
1308,SAC,SAC vs. PHX,11/19/2019,,W,24,62,25,40,62.5,7,15,46.7,5,6,83.3,3,23,26,17,10,4,2,10,17
1309,POR,POR @ NOP,11/19/2019,,L,24,54,22,46,47.8,6,10,60.0,4,9,44.4,5,21,26,12,8,2,4,11,1
1310,PHX,PHX @ SAC,11/19/2019,,L,24,45,15,47,31.9,4,19,21.1,11,15,73.3,10,11,21,10,6,7,1,7,-17
1311,OKC,OKC @ LAL,11/19/2019,,L,24,53,20,44,45.5,4,15,26.7,9,12,75.0,7,14,21,10,11,5,1,11,-10
1312,GSW,GSW @ MEM,11/19/2019,,W,24,61,24,47,51.1,4,17,23.5,9,10,90.0,7,21,28,19,7,3,7,12,15
1313,MEM,MEM vs. GSW,11/19/2019,,L,24,46,17,47,36.2,4,11,36.4,8,10,80.0,5,13,18,12,6,2,1,11,-15
1314,NOP,NOP vs. POR,11/19/2019,,W,24,53,18,46,39.1,6,17,35.3,11,13,84.6,8,19,27,10,8,4,3,10,-1
1315,LAL,LAL vs. OKC,11/19/2019,,W,24,63,24,43,55.8,8,15,53.3,7,10,70.0,4,16,20,17,9,7,3,9,10
1316,HOU,HOU vs. POR,11/18/2019,,W,24,64,21,48,43.8,9,23,39.1,13,15,86.7,7,24,31,9,7,4,5,9,14
1317,MIL,MIL @ CHI,11/18/2019,,W,24,60,22,43,51.2,11,25,44.0,5,9,55.6,4,17,21,14,8,8,4,3,4
1318,POR,POR @ HOU,11/18/2019,,L,24,50,19,47,40.4,5,18,27.8,7,9,77.8,4,18,22,15,7,3,3,13,-14
1319,UTA,UTA vs. MIN,11/18/2019,,L,24,56,19,43,44.2,8,15,53.3,10,13,76.9,4,23,27,10,10,2,1,10,-3
1320,MIN,MIN @ UTA,11/18/2019,,W,24,59,24,53,45.3,7,20,35.0,4,5,80.0,4,21,25,12,5,4,4,11,3
1321,PHX,PHX vs. BOS,11/18/2019,,L,24,42,16,42,38.1,4,17,23.5,6,8,75.0,2,20,22,10,8,2,2,12,-15
1322,CHI,CHI vs. MIL,11/18/2019,,L,24,56,24,47,51.1,7,13,53.8,1,1,100.0,4,17,21,17,10,4,2,7,-4
1323,LAC,LAC vs. OKC,11/18/2019,,W,24,42,18,44,40.9,2,18,11.1,4,5,80.0,5,21,26,10,9,3,3,12,-5
1324,NYK,NYK vs. CLE,11/18/2019,,W,24,64,25,56,44.6,6,13,46.2,8,12,66.7,14,12,26,11,3,5,6,9,13
1325,SAS,SAS @ DAL,11/18/2019,,L,24,49,20,46,43.5,3,10,30.0,6,7,85.7,7,14,21,8,5,3,1,9,-10
1326,BOS,BOS @ PHX,11/18/2019,,W,24,57,20,49,40.8,6,23,26.1,11,14,78.6,8,24,32,12,8,5,4,12,15
1327,CHA,CHA @ TOR,11/18/2019,,L,24,56,19,39,48.7,9,20,45.0,9,12,75.0,3,15,18,16,12,1,4,9,-4
1328,TOR,TOR vs. CHA,11/18/2019,,W,24,60,24,50,48.0,5,21,23.8,7,8,87.5,8,17,25,19,6,7,2,12,4
1329,OKC,OKC @ LAC,11/18/2019,,L,24,47,16,41,39.0,2,12,16.7,13,16,81.3,3,17,20,9,5,8,1,8,5
